Source Property Name,Random Value Sample,Must be on HubSpot?,Must be on HubSpot? No Reason,New Suggested Name for HubSpot,Internal Name Suggested for HubSpot,Number of records with values in this property,Options Found,Possible Field Type,Possible Internal Values Type,Possible Internal Field Type,Values related  from a foreign Frame?,Foreign file name,Foreign file path,Foreign column name to get values,Foreign column with shared key,Possible Group Name,New Suggested Name for HubSpot by Soruce HubSpot,Internal Name Suggested for HubSpot by Soruce HubSpot,Soruce HubSpot Options,Soruce HubSpot Type,Operation State
id,89900742223,Yes,,Id,id,6936,,Single-line text,string,text,,,,,,circus_street_information,,,,,Error
address,"Boadicea Lane, 1368",Yes,,Street Address,address,6936,,Single-line text,string,text,,,,,,circus_street_information,,,,,Error
allowed_to_collect,True,Yes,,Allowed To Collect,allowed_to_collect,6936,,Single checkbox,enumeration,booleancheckbox,,,,,,circus_street_information,,,,,Error
checkbox,True,Yes,,Checkbox,checkbox,6899,,Single checkbox,enumeration,booleancheckbox,,,,,,circus_street_information,,,,,Error
country,Dublin,Yes,,Country/Region,country,6853,,Single-line text,string,text,,,,,,circus_street_information,,,,,Error
createdate,2025-01-08T15:30:31.502Z,Yes,,Createdate,createdate,6936,,Date picker,date,date,,,,,,circus_street_information,,,,,Error
firstname,Carrie,Yes,,First Name,firstname,6789,,Single-line text,string,text,,,,,,circus_street_information,,,,,Error
hs_object_id,89900742223,Yes,,Temporary ID,temporary_id ,6936,,Single-line text,string,text,,,,,,circus_street_information,,,,,Error
industry,Animal feeds,Yes,,Industry,industry,6936,"['Fruit', 'Vegetables', 'Bakery products', 'Animal feeds', 'Poultry', 'Fish', 'Milling', 'Meat' , 'Dairy products']",multicheck ,enumeration,select,,,,,,circus_street_information,,,,,Error
lastmodifieddate,2025-01-08T22:18:05.768Z,Yes,,Lastmodifieddate,lastmodifieddate,6936,,Date picker,date,date,,,,,,circus_street_information,,,,,Error
lastname,Rees,Yes,,Last Name,lastname,6789,,Single-line text,string,text,,,,,,circus_street_information,,,,,Error
phone,0-045-278-522 ext 25,Yes,,Phone Number,phone,6781,,Single-line text,string,text,,,,,,circus_street_information,,,,,Error
raw_email_id,360,Yes,,Email ,email,6936,,Single-line text,string,text,,,,,,circus_street_information,,,,,Error
training___create_date,3/26/2021,Yes,,Training Create Date,training_create_date,6936,,Date picker,date,date,,,,,,circus_street_information,,,,,Error
